DATE,Product,Sales_Quantity,CFG,CHANNEL_ID,PRODUCT_ID,Model_NAME,SCHEDULER_NAME,Pending_Order,Target
11-06-2016,LCD,15,12.5UHD_BP2_Veneno_Touch_NBLCD,5000005,60825,BOLDPEAK2,FLORA_HAN,5,Good
24-09-2016,Graphic Card,19,"CRD,GRPHC,2GB,K2200",5000236,56530,AVALON7910CTO,FUEY_CHUIN_CHUAH (GRPH/NTWK/CTRL_FWS/OPTI ),1,Good
09-04-2016,Memory,13,MEM_UDIMM_DDR3_1600_4GB,2190,54361,GREATBEAR ST BTX,BTX_VOSTRO_DESKTOPS,2,Bad
27-08-2016,Keyboard_NBK,17,"NBKYBD_KYBD,82,US,ENG,M14ISFBP",1865,77645,PR51707GOL14MLKA,JACQUEL_HIGHTOWER(LARGE ORDERS),2,Good
07-05-2016,ODM Mechanical,13,CVRNR_CFG,5000947,62880,LOVELAND15SCTO,FLORA_HAN,125,Good
26-03-2016,ODD,13,RMSD_HH_DVDRW_Bare,5000960,56527,AVALON7810CTO,NORMAWARZURA_MAT (RMSD_APJ),5,Good
05-03-2016,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_SATA3,1865,56835,DOGFISH 3 BTX,BTX_OPTIPLEX_DESKTOPS,2,Normal
10-09-2016,ODD Mechanical,13,63PDH_CFG,1865,53551,ALPINE14CTO,TAMEKA_WILSON(LATITUDE_BASE),2,Good
24-09-2016,Graphic Card,19,"CRD,GRPHC,2GB,K2200",5000236,56530,AVALON7910CTO,FUEY_CHUIN_CHUAH (GRPH/NTWK/CTRL_FWS/OPTI ),2,Good
19-11-2016,ODM Mechanical,13,WHVND_CFG,5001417,61174,JASSKL20BTX,BTX_PERSONAL_DESKTOPS,2,Bad
15-10-2016,Graphic Card,19,Gfx_Crd_J27RG,1865,78167,VMAXBTX,BTX_XPS_DESKTOPS,563,Good
01-10-2016,Keyboard_NBK,17,NBKYBD_ENDB3_WIN8_BEL_E5,2190,53292,DIESEL 17,MIKE_SIMMONDS_COMM_NBK_KEYBOARDS,2,Good
